HotspotID,LabName,Addresses,City,Latitude,Longitude
176,"RML Mehrotra Pathology Pvt Ltd., Lucknow","A-21/A, Nirala Nagar, Lucknow, Uttar Pradesh 226020", Lucknow,26.8790068,80.9357084
177,"CORE Diagnostics Pvt Ltd, Gurugram","CORE Diagnostics Pvt Ltd, 406, Udyog Vihar III, Sector 20, Gurugram, Haryana 122016", Gurugram,29.25,76.33333
178,"DDRC SRL Diagnostics Pvt Ltd, Ernakulam","DDRC SRL Diagnostics Pvt Ltd, TOWER,G-131, Panampilly Nagar, Ernakulam, Kerala 682036", Ernakulam,27.42397,77.09922
179,"Malabar Cancer Centre, Thalassery","Kodiyeri, Muzhikkara - MCC Rd, Illathaazha, Thalassery, Kerala 670103", Thalassery,11.7655,75.4634
180,"PATHCARE Labs Pvt. Ltd., Hyderabad","Sy. #34, Opp: Geethanjali Engineering College, Cheeryal (V), Keesara (M), Greater Hyderabad, Telangana 501301", Hyderabad,17.38405,78.45636
183,"Institute of Preventive Medicine, Hyderabad","Narayanaguda, Hyderabad, Telangana 500029", Hyderabad,17.3943658,78.4899578
184,"AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Hyderabad","AMERICAN Institute of Pathology and Laboratory Sciences Private Limited, Door No. 1-100/CCH, Second Floor, At Citizens Hospital, Nallagandla, Serilingampally, Hyderabad, Telangana 500019", Hyderabad,17.4263,78.0219
185,"Department of Laboratory Sciences, Tata Medical Center, Kolkata","Department of Laboratory Sciences, Tata Medical Center, 14, MAR(E-W), DH Block(Newtown), Action Area I, Newtown, Kolkata, West Bengal 700160", Kolkata,22.56263,88.36304
186,"Prognosis Laboratories, New Delhi","515-516, Behind Gupta Properties, Sector 19, Pocket 1, Dwarka, New Delhi, Delhi 110075", New Delhi,22.23944,68.96778
187,"K.A.P. Viswanatham Government Medical College, Trichy","K.A.P.Viswanatham Government Medical College, Periyamilaguparai, Colletor's office Road, Trichy, Tamil Nadu 620001", Trichy,,
